                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                0.67511,                 0.4091,                0.84504,                0.90405,                0.87509,                0.93872,                  0.791,                0.61547,                 0.3675,                0.82571,               0.006139,               0.006139,               0.006139
                     81,                0.67313,                0.40876,                0.84532,                0.90072,                0.87878,                0.93887,                0.79128,                0.61546,                0.36755,                0.82572,              0.0060895,              0.0060895,              0.0060895
                     82,                0.67141,                0.40722,                0.84385,                0.89558,                0.88416,                0.93876,                 0.7912,                0.61537,                0.36776,                0.82571,                0.00604,                0.00604,                0.00604
                     83,                0.67303,                0.40835,                0.84517,                0.89266,                0.88708,                 0.9389,                0.79163,                0.61535,                 0.3679,                 0.8257,              0.0059905,              0.0059905,              0.0059905
                     84,                0.67153,                0.40804,                0.84419,                0.89221,                0.88744,                0.93886,                0.79149,                0.61547,                0.36803,                0.82572,               0.005941,               0.005941,               0.005941
                     85,                0.67109,                0.40691,                0.84414,                0.89986,                0.87946,                0.93881,                0.79174,                0.61537,                0.36798,                0.82571,              0.0058915,              0.0058915,              0.0058915
                     86,                 0.6708,                0.40623,                0.84374,                 0.8938,                0.88594,                0.93851,                0.79163,                0.61541,                0.36822,                0.82573,               0.005842,               0.005842,               0.005842
                     87,                 0.6728,                0.40775,                0.84459,                 0.8956,                0.88329,                 0.9387,                0.79176,                0.61536,                0.36823,                0.82574,              0.0057925,              0.0057925,              0.0057925
                     88,                 0.6688,                0.40508,                0.84342,                0.89513,                0.88487,                0.93855,                0.79189,                0.61517,                 0.3681,                0.82569,               0.005743,               0.005743,               0.005743
                     89,                 0.6716,                0.40657,                  0.844,                0.89543,                0.88511,                0.93839,                0.79178,                0.61516,                0.36817,                0.82569,              0.0056935,              0.0056935,              0.0056935
                     90,                0.67005,                0.40601,                0.84429,                0.89377,                0.88653,                0.93848,                0.79177,                0.61504,                0.36812,                0.82566,               0.005644,               0.005644,               0.005644
                     91,                 0.6682,                0.40364,                 0.8429,                0.89573,                0.88391,                0.93841,                0.79185,                 0.6149,                0.36796,                0.82564,              0.0055945,              0.0055945,              0.0055945
                     92,                0.66765,                0.40277,                0.84314,                0.89858,                0.88085,                0.93825,                0.79175,                 0.6148,                0.36803,                0.82563,               0.005545,               0.005545,               0.005545
                     93,                0.66652,                0.40254,                0.84267,                0.90056,                 0.8788,                0.93819,                0.79168,                0.61479,                0.36809,                0.82565,              0.0054955,              0.0054955,              0.0054955
                     94,                0.66672,                0.40231,                0.84317,                0.90217,                0.87747,                0.93807,                0.79168,                0.61473,                 0.3683,                0.82565,               0.005446,               0.005446,               0.005446
                     95,                 0.6669,                0.40297,                0.84316,                0.90385,                0.87596,                0.93799,                0.79164,                0.61467,                0.36849,                0.82565,              0.0053965,              0.0053965,              0.0053965
                     96,                0.66446,                0.40036,                0.84225,                0.90301,                0.87689,                0.93799,                0.79141,                 0.6145,                0.36833,                0.82563,               0.005347,               0.005347,               0.005347
                     97,                0.66524,                0.39978,                0.84176,                0.90064,                0.87893,                0.93808,                0.79142,                0.61467,                0.36864,                0.82565,              0.0052975,              0.0052975,              0.0052975
                     98,                0.66347,                0.39925,                0.84212,                0.89986,                0.88028,                 0.9379,                0.79156,                0.61465,                0.36878,                0.82566,               0.005248,               0.005248,               0.005248
